location,continent,date,total_cases,total_deaths,people_vaccinated,population,gdp_per_capita,hospital_beds_per_thousand
Saint Vincent and the Grenadines,North America,2023-04-21,9602.0,124.0,37532.0,103959,10727.146,2.6
Saudi Arabia,Asia,2023-04-25,839219.0,9641.0,27041364.0,36408824,49045.411,2.7
Fiji,Oceania,2023-05-01,68921.0,883.0,712025.0,929769,8702.975,2.3
New Zealand,Oceania,2023-05-02,2251440.0,2736.0,4302330.0,5185289,36085.843,2.61
Israel,Asia,2023-05-04,4821809.0,12499.0,6723119.0,9449000,33132.32,2.99
Qatar,Asia,2023-05-07,509440.0,690.0,2852178.0,2695131,116935.6,1.2
North Macedonia,Europe,2023-05-07,348275.0,9939.0,854570.0,2093606,13111.214,4.28
Japan,Asia,2023-05-07,33778993.0,74654.0,104705133.0,123951696,39002.223,13.05
United States,North America,2023-05-09,103343569.0,1125209.0,270227181.0,338289856,54225.446,2.77
Guatemala,North America,2023-05-12,1248823.0,20196.0,8933623.0,17843914,7423.808,0.6
Bahamas,North America,2023-05-12,38084.0,844.0,174810.0,409989,27717.847,2.9
Panama,North America,2023-05-12,1037324.0,8620.0,3533477.0,4408582,22267.037,2.3
Paraguay,South America,2023-05-12,735759.0,19880.0,3993938.0,6780745,8827.01,1.3
Mali,Africa,2023-05-14,33147.0,743.0,4354292.0,22593598,2014.306,0.1
Morocco,Africa,2023-05-14,1274180.0,16297.0,25020168.0,37457976,7485.013,1.1
Egypt,Africa,2023-05-21,516023.0,24830.0,56907319.0,110990096,10550.206,1.6
Spain,Europe,2023-05-24,13941599.0,121448.0,41351234.0,47558632,34272.36,2.97
South Korea,Asia,2023-05-26,31541285.0,34687.0,44784499.0,51815808,35938.374,12.27
Uganda,Africa,2023-05-28,170775.0,3632.0,20033189.0,47249588,1697.707,0.5
Ethiopia,Africa,2023-05-28,500890.0,7574.0,52489512.0,123379928,1729.927,0.3
Eswatini,Africa,2023-06-04,74852.0,1427.0,526050.0,1201680,7738.975,2.1
Tunisia,Africa,2023-06-20,1153361.0,29423.0,7218871.0,12356116,10849.297,2.3
Zambia,Africa,2023-06-25,347022.0,4062.0,11711565.0,20017670,3689.251,2.0
Vietnam,Asia,2023-06-30,11620047.0,43206.0,90497674.0,98186856,6171.884,2.6
Austria,Europe,2023-06-30,6080775.0,22534.0,6899873.0,8939617,45436.686,7.37
Brunei,Asia,2023-06-30,309390.0,161.0,451149.0,449002,71809.251,2.7
Mozambique,Africa,2023-07-02,233417.0,2243.0,22869646.0,32969520,1136.103,0.7
Ghana,Africa,2023-07-02,171653.0,1462.0,13864186.0,33475870,4227.63,0.9
Switzerland,Europe,2023-07-03,4406995.0,14039.0,6096911.0,8740471,57410.166,4.53
France,Europe,2023-07-10,38997490.0,167985.0,54677678.0,67813000,38605.671,5.98
Burkina Faso,Africa,2023-07-23,22056.0,396.0,6089089.0,22673764,1703.102,0.4
Sao Tome and Principe,Africa,2023-07-30,6589.0,80.0,140256.0,227393,3052.714,2.9
Mauritius,Africa,2023-07-30,308739.0,1053.0,1123773.0,1299478,20292.745,3.4
Niger,Africa,2023-07-30,9515.0,315.0,6248483.0,26207982,926.0,0.3
Madagascar,Africa,2023-07-30,68317.0,1425.0,2710365.0,29611718,1416.44,0.2
Turkmenistan,Asia,2023-08-06,0.0,0.0,4614869.0,6430777,16389.023,7.4
Nicaragua,North America,2023-08-11,15997.0,245.0,6404524.0,6948395,5321.444,0.9
Honduras,North America,2023-08-11,472719.0,11114.0,6596213.0,10432858,4541.795,0.7
Myanmar,Asia,2023-08-21,641148.0,19494.0,41551927.0,54179312,5591.597,0.9
